id,name,bic,country/id,zip,city,street,email,phone
bank_ir_10,بانک مرکزی ایران,10,base.ir,,,,,
bank_ir_11,بانک صنعت و معدن,11,base.ir,,,,,
bank_ir_12,بانک ملت,12,base.ir,,,,,
bank_ir_13,بانک رفاه کارگران,13,base.ir,,,,,
bank_ir_14,بانک مسکن,14,base.ir,,,,,
bank_ir_15,بانک سپه,15,base.ir,,,,,
bank_ir_16,بانک کشاورزی,16,base.ir,,,,,
bank_ir_17,بانک ملی ایران,17,base.ir,,,,,
bank_ir_18,بانک تجارت,18,base.ir,,,,,
bank_ir_19,بانک صادرات ایران,19,base.ir,,,,,
bank_ir_20,بانک توسعه صادرات ایران,20,base.ir,,,,,
bank_ir_21,پست بانک ایران,21,base.ir,,,,,
bank_ir_22,بانک توسعه تعاون,22,base.ir,,,,,
bank_ir_51,موسسه اعتباری توسعه (غیرفعال),51,base.ir,,,منحل شد,,
bank_ir_52,بانک قوامین (غیرفعال),52,base.ir,,,ادغام در بانک سپه,,
bank_ir_53,بانک کار آفرین,53,base.ir,,,,,
bank_ir_54,بانک پارسیان,54,base.ir,,,,,
bank_ir_55,بانک اقتصاد نوین,55,base.ir,,,,,
bank_ir_56,بانک سامان,56,base.ir,,,,,
bank_ir_57,بانک پاسارگاد,57,base.ir,,,,,
bank_ir_58,بانک سرمایه,58,base.ir,,,,,
bank_ir_59,بانک سینا,59,base.ir,,,,,
bank_ir_60,بانک قرض‌الحسنه مهر ایران,60,base.ir,,,,,
bank_ir_61,بانک شهر,61,base.ir,,,,,
bank_ir_62,بانک آینده (غیرفعال),62,base.ir,,,ادغام در بانک ملی ایران,,
bank_ir_63,بانک انصار (غیرفعال),63,base.ir,,,ادغام در بانک سپه,,
bank_ir_64,بانک گردشگری,64,base.ir,,,,,
bank_ir_65,بانک حکمت ایرانیان (غیرفعال),65,base.ir,,,ادغام در بانک سپه,,
bank_ir_66,بانک دی,66,base.ir,,,,,
bank_ir_69,بانک ایران زمین,69,base.ir,,,,,
bank_ir_70,بانک قرض‌الحسنه رسالت,70,base.ir,,,,,
bank_ir_73,موسسه اعتباری کوثر (غیرفعال),73,base.ir,,,ادغام در بانک سپه,,
bank_ir_75,موسسه اعتباری ملل,75,base.ir,,,,,
bank_ir_78,بانک خاورمیانه,78,base.ir,,,,,
bank_ir_79,بانک مهر اقتصاد (غیرفعال),79,base.ir,,,ادغام در بانک سپه,,
bank_ir_80,موسسه اعتباری نور (غیرفعال),80,base.ir,,,ادغام در بانک ملی ایران,,
bank_ir_95,بانک مشترک ایران-ونزوئلا,95,base.ir,,,,,
