"id","name","code","account_type","chart_template_id/id","reconcile"
"account_account_template_0_111001","صندوق ریالی","111001","income","l10n_ir_accounting.l10n_ir_chart_template","1"
"account_account_template_0_111002","صندوق ارزی","111002","income","l10n_ir_accounting.l10n_ir_chart_template","1"
"account_account_template_0_111003","تنخواه گردانهای ریالی","111003","income","l10n_ir_accounting.l10n_ir_chart_template","1"
"account_account_template_0_111004","تنخواه گردانهای ارزی","111004","income","l10n_ir_accounting.l10n_ir_chart_template","1"
"account_account_template_0_111005","موجودی بانکهای ریالی","111005","income","l10n_ir_accounting.l10n_ir_chart_template","1"
"account_account_template_0_111006","موجودی بانکهای ارزی","111006","income","l10n_ir_accounting.l10n_ir_chart_template","1"
"account_account_template_0_111007","وجوه در راه","111007","asset_current","l10n_ir_accounting.l10n_ir_chart_template","1"
"account_account_template_0_111008","موجودی واریز نامه های ارزی","111008","income","l10n_ir_accounting.l10n_ir_chart_template","1"
"account_account_template_0_111009","سپرده کوتاه مدت بانکی","111009","income","l10n_ir_accounting.l10n_ir_chart_template","1"
"account_account_template_0_111101","سپرده های  کوتاه مدت بانکی","111101","income","l10n_ir_accounting.l10n_ir_chart_template","1"
"account_account_template_0_111102","سپرده شرکت در مناقصه ومزایده","111102","asset_current","l10n_ir_accounting.l10n_ir_chart_template","1"
"account_account_template_0_111103","سپرده های گمرکی","111103","asset_current","l10n_ir_accounting.l10n_ir_chart_template","1"
"account_account_template_0_111104","سپرده های دریافتنی","111104","asset_receivable","l10n_ir_accounting.l10n_ir_chart_template","1"
"account_account_template_0_111105","سپرده ضمانتنامه های بانکی","111105","asset_current","l10n_ir_accounting.l10n_ir_chart_template","1"
"account_account_template_0_111106","سایر سپرده ها","111106","asset_current","l10n_ir_accounting.l10n_ir_chart_template","1"
"account_account_template_0_111201","چکهای در جریان وصول","111201","asset_current","l10n_ir_accounting.l10n_ir_chart_template","1"
"account_account_template_0_111202","اسناد در جریان وصول","111202","asset_current","l10n_ir_accounting.l10n_ir_chart_template","1"
"account_account_template_0_111203","چکهای دریافتنی نزد صندوق","111203","asset_receivable","l10n_ir_accounting.l10n_ir_chart_template","1"
"account_account_template_0_111204","اسناد دریافتنی نزد صندوق","111204","asset_receivable","l10n_ir_accounting.l10n_ir_chart_template","1"
