id,name,code_prefix_start
l10n_ir_account_group_11,دارایی های جاری,11
l10n_ir_account_group_1110,موجودی نقد و بانک,1110
l10n_ir_account_group_1111,سپرده های کوتاه مدت,1111
l10n_ir_account_group_1112,اسناد دریافتنی,1112
l10n_ir_account_group_1113,حساب های دریافتنی تجاری,1113
l10n_ir_account_group_1114,سایر حساب های دریافتنی,1114
l10n_ir_account_group_1115,سرمایه گذاری های کوتاه مدت,1115
l10n_ir_account_group_1116,موجودی مواد و کالا,1116
l10n_ir_account_group_1117,کار در جریان ساخت,1117
l10n_ir_account_group_1118,سفارشات و اقلام در راه,1118
l10n_ir_account_group_1119,پیش پرداخت ها,1119
l10n_ir_account_group_12,دارایی های غیر جاری,12
l10n_ir_account_group_1210,اموال، ماشین آلات و تجهیزات,1210
l10n_ir_account_group_1211,استهلاک انباشته اموال، ماشین آلات و تجهیزات,1211
l10n_ir_account_group_1212,املاک,1212
l10n_ir_account_group_1213,دارایی های ثابت در جریان تکمیل,1213
l10n_ir_account_group_1214,سرمایه گذاری های بلند مدت,1214
l10n_ir_account_group_1215,سپرده ها و مطالبات بلند مدت,1215
l10n_ir_account_group_1216,هزینه سنوات آتی (مخارج انتقالی به دوره های آتی),1216
l10n_ir_account_group_1220,سایر دارایی ها,1220
l10n_ir_account_group_21,بدهی های جاری,21
l10n_ir_account_group_2110,حساب های پرداختنی تجاری,2110
l10n_ir_account_group_2111,اسناد پرداختنی کوتاه مدت,2111
l10n_ir_account_group_2112,سایر حساب های پرداختنی,2112
l10n_ir_account_group_2113,سپرده های دریافتی,2113
l10n_ir_account_group_2114,پیش دریافت ها,2114
l10n_ir_account_group_2115,ذخیره مالیات,2115
l10n_ir_account_group_2116,سود سهام پیشنهادی و پرداختنی,2116
l10n_ir_account_group_2117,تسهیلات و اعتبارات مالی دریافتی,2117
l10n_ir_account_group_2118,سایر ذخایر,2118
l10n_ir_account_group_22,بدهی های غیر جاری,22
l10n_ir_account_group_2210,اسناد پرداختنی بلند مدت,2210
l10n_ir_account_group_2211,حساب های پرداختنی بلند مدت,2211
l10n_ir_account_group_2212,تسهیلات مالی دریافتی بلند مدت,2212
l10n_ir_account_group_2213,ذخیره مزایای پایان خدمت کارکنان,2213
l10n_ir_account_group_2215,درآمد های انتقالی به دوره آتی,2215
l10n_ir_account_group_31,حقوق صاحبان سهام,31
l10n_ir_account_group_3110,سرمایه,3110
l10n_ir_account_group_3111,اندوخته قانونی,3111
l10n_ir_account_group_3112,سایر اندوخته ها و صرف سهام,3112
l10n_ir_account_group_3113,سود (زیان) انباشته,3113
l10n_ir_account_group_3114,سود (زیان) جاری,3114
l10n_ir_account_group_3116,تقسیم سود,3116
l10n_ir_account_group_41,فروش و درآمد,41
l10n_ir_account_group_4111,برگشت از فروش و تخفیفات,4111
l10n_ir_account_group_4112,سایر درآمد ها و هزینه های عملیاتی,4112
l10n_ir_account_group_51,قیمت تمام شده کالای فروش رفته,51
l10n_ir_account_group_5110,قیمت تمام شده کالای فروش رفته,5110
l10n_ir_account_group_61,هزینه های فعالیت,61
l10n_ir_account_group_6110,هزینه های حقوق و دستمزد,6110
l10n_ir_account_group_6111,هزینه های کارکنان,6111
l10n_ir_account_group_6112,هزینه های عملیاتی,6112
l10n_ir_account_group_6113,سایر هزینه های اداری و تشکیلاتی,6113
l10n_ir_account_group_62,سایر هزینه ها و درآمد های غیر عملیاتی,62
l10n_ir_account_group_6210,هزینه های بازاریابی و توزیع و فروش,6210
l10n_ir_account_group_6211,هزینه های مالی,6211
l10n_ir_account_group_6212,هزینه های تحقیق و توسعه,6212
l10n_ir_account_group_6213,سایر هزینه های اداری و تشکیلاتی,6213
l10n_ir_account_group_6215,سایر درآمد ها و هزینه های غیر عملیاتی,6215
l10n_ir_account_group_6217,هزینه های غیر مترقبه,6217
l10n_ir_account_group_81,حساب های جذب و انحرافات,81
l10n_ir_account_group_8110,جذب هزینه های تبدیل دوایر تولیدی,8110
l10n_ir_account_group_8111,تسهیم هزینه های دوایر خدماتی,8111
l10n_ir_account_group_8112,انحراف مواد اولیه,8112
l10n_ir_account_group_8113,انحراف هزینه های تبدیل,8113
l10n_ir_account_group_8114,انتقال هزینه های تبدیل تولید,8114
l10n_ir_account_group_91,حساب های انتظامی,91
l10n_ir_account_group_9110,حساب های انتظامی به نفع شرکت,9110
l10n_ir_account_group_9111,حساب های انتظامی عهده شرکت,9111
l10n_ir_account_group_9112,طرف حساب های انتظامی,9112
l10n_ir_account_group_99,هزینه های شرکت,99
